[2025-02-28 14:12:16] IP: 127.0.0.1 | Eventos iniciados: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:12:46] IP: 127.0.0.1 | Eventos retrocedidos a Pendiente: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:12:46] IP: 127.0.0.1 | Eventos retrocedidos desde Finalizado: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:12:46] IP: 127.0.0.1 | Eventos finalizados actualizados: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:12:46] IP: 127.0.0.1 | Jugadores actualizados a terminado: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:12:46] IP: 127.0.0.1 | Eventos iniciados: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:12:54] IP: 127.0.0.1 | Eventos retrocedidos a Pendiente: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:12:54] IP: 127.0.0.1 | Eventos retrocedidos desde Finalizado: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:12:54] IP: 127.0.0.1 | Eventos finalizados actualizados: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:12:54] IP: 127.0.0.1 | Jugadores actualizados a terminado: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:12:54] IP: 127.0.0.1 | Eventos iniciados: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:13:01] IP: 127.0.0.1 | Eventos retrocedidos a Pendiente: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:13:01] IP: 127.0.0.1 | Eventos retrocedidos desde Finalizado: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:13:01] IP: 127.0.0.1 | Eventos finalizados actualizados: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:13:01] IP: 127.0.0.1 | Jugadores actualizados a terminado: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:13:01] IP: 127.0.0.1 | Eventos iniciados: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:13:44] IP: 127.0.0.1 | Administrador con ID 1 ha iniciado sesión exitosamente | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:13:44] IP: 127.0.0.1 | Eventos retrocedidos a Pendiente: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:13:44] IP: 127.0.0.1 | Eventos retrocedidos desde Finalizado: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:13:44] IP: 127.0.0.1 | Eventos finalizados actualizados: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:13:44] IP: 127.0.0.1 | Jugadores actualizados a terminado: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:13:44] IP: 127.0.0.1 | Eventos iniciados: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:15:35] IP: 127.0.0.1 | Administrador con ID 2 ha iniciado sesión exitosamente | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:15:35] IP: 127.0.0.1 | Eventos retrocedidos a Pendiente: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:15:35] IP: 127.0.0.1 | Eventos retrocedidos desde Finalizado: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:15:35] IP: 127.0.0.1 | Eventos finalizados actualizados: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:15:35] IP: 127.0.0.1 | Jugadores actualizados a terminado: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:15:35] IP: 127.0.0.1 | Eventos iniciados: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:16:11] IP: 127.0.0.1 | Cierre de sesión - Usuario: Luis Angel | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:16:36] IP: 127.0.0.1 | Administrador con ID 1 ha iniciado sesión exitosamente | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:16:36] IP: 127.0.0.1 | Eventos retrocedidos a Pendiente: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:16:36] IP: 127.0.0.1 | Eventos retrocedidos desde Finalizado: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:16:36] IP: 127.0.0.1 | Eventos finalizados actualizados: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:16:36] IP: 127.0.0.1 | Jugadores actualizados a terminado: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:16:36] IP: 127.0.0.1 | Eventos iniciados: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
